post_id,user_id,post_text,post_date,sentiment_score,platform
1,44,Enjoyed a relaxing evening.,10-11-2024 05:43,0.8,
2,30,The food was amazing at the restaurant!,06-12-2025 09:00,-0.5,
3,16,Enjoyed a nice day by the beach.,10-08-2025 10:13,0.5,Facebook
4,5,"Had an okay day, nothing special.",31-08-2025 16:08,0.1,Facebook
5,34,The weather is perfect today!,15-10-2024 15:55,0.3,Facebook
6,35,Excited about the new event!,13-07-2024 03:33,0.2,
7,34,The weather is perfect today!,13-08-2024 14:47,-0.2,
8,24,Enjoyed a relaxing evening.,15-09-2024 13:03,0.4,Instagram
9,26,Excited about the new event!,29-03-2025 15:28,-0.0,Instagram
10,34,Had an awesome workout!,01-07-2024 13:54,0.8,Instagram
11,26,Enjoyed a nice day by the beach.,22-06-2024 16:53,-0.7,Instagram
12,32,Had a peaceful day.,23-06-2024 08:40,0.5,Twitter
13,41,Had a peaceful day.,31-07-2024 12:50,-0.6,Instagram
14,24,Excited about the new event!,27-09-2024 12:25,0.0,Facebook
15,29,Traffic was terrible today.,11-03-2025 14:25,0.5,Twitter
16,6,Excited for the next adventure!,06-08-2024 17:17,0.5,
17,10,The commute was exhausting today.,06-11-2024 12:53,0.8,Facebook
18,11,Can't wait for the holidays!,24-09-2024 02:07,1.0,Facebook
19,28,The new movie was decent.,28-12-2024 05:22,-1.0,
20,12,Had an awesome workout!,22-10-2024 15:40,-0.9,Facebook
21,17,Not feeling well today.,30-08-2025 14:11,-0.6,Facebook
22,41,Traffic was terrible today.,01-12-2024 07:37,0.0,Twitter
23,2,The weather is perfect today!,02-08-2024 03:43,0.9,Instagram
24,21,Had a peaceful day.,13-06-2025 07:43,-0.4,Twitter
25,36,Had a peaceful day.,22-11-2024 11:31,0.1,Instagram
26,35,Traffic was terrible today.,23-06-2025 04:57,-0.2,Facebook
27,38,"Had an okay day, nothing special.",10-06-2024 22:35,-0.8,Twitter
28,10,The food was amazing at the restaurant!,10-01-2025 20:52,-0.9,Facebook
29,19,The weather is perfect today!,07-02-2025 15:27,-0.6,Instagram
30,49,Enjoyed a relaxing evening.,25-06-2025 14:51,0.4,Facebook
31,46,Not feeling well today.,12-06-2024 12:55,-0.5,Facebook
32,2,Feeling stressed about work.,18-08-2025 09:09,-0.4,Instagram
33,35,Feeling bored today.,13-02-2025 12:26,-0.8,Twitter
34,25,Enjoyed a relaxing evening.,08-11-2025 22:44,-0.8,Twitter
35,50,"Had an okay day, nothing special.",06-08-2024 05:47,0.5,Facebook
36,23,The weather is perfect today!,02-02-2025 00:00,0.4,Twitter
37,44,Feeling stressed about work.,24-10-2025 20:28,-1.0,Instagram
38,8,Had an awesome workout!,07-07-2024 12:04,0.1,Twitter
39,10,Had a peaceful day.,01-09-2025 21:00,-0.4,Facebook
40,13,The new movie was decent.,26-10-2025 01:44,-0.6,Twitter
41,44,Not feeling well today.,02-11-2024 16:33,0.2,Twitter
42,37,Excited about the new event!,17-05-2025 16:02,0.9,Facebook
43,19,Looking forward to the next trip!,10-08-2024 18:23,-0.9,Instagram
44,3,The food was amazing at the restaurant!,02-07-2025 01:50,-0.3,Twitter
45,25,Feeling bored today.,13-03-2025 19:27,-0.7,Twitter
46,38,The weather is perfect today!,19-11-2024 10:31,0.6,Facebook
47,23,Looking forward to the next trip!,17-11-2024 01:55,0.3,
48,11,Enjoyed a relaxing evening.,05-07-2024 03:16,0.3,Instagram
49,12,Feeling stressed about work.,27-03-2025 21:36,0.6,Instagram
50,37,The new movie was decent.,23-12-2025 12:20,-0.5,Facebook
51,35,The new movie was decent.,08-07-2024 23:59,0.7,Facebook
52,25,Looking forward to the weekend.,04-12-2024 19:21,-0.5,Instagram
