post_id,user_id,post_text,post_date,sentiment_score,platform,user_name,location,date_joined
1,44,Enjoyed a relaxing evening.,2024-11-10 05:43:00,0.8,Diff_source,Jay,Chennai,2025-09-05
2,30,The food was amazing at the restaurant!,2025-12-06 09:00:00,-0.5,Diff_source,Pooja,Mumbai,2025-04-15
3,16,Enjoyed a nice day by the beach.,2025-08-10 10:13:00,0.5,Facebook,Akash,Unknown,2024-11-05
4,5,"Had an okay day, nothing special.",2025-08-31 16:08:00,0.1,Facebook,Ravi,Hyderabad,2024-05-11
5,34,The weather is perfect today!,2024-10-15 15:55:00,0.3,Facebook,Anonymous_user,Unknown,2025-05-25
6,35,Excited about the new event!,2024-07-13 03:33:00,0.2,Diff_source,Vishal,Unknown,2025-06-05
7,34,The weather is perfect today!,2024-08-13 14:47:00,-0.2,Diff_source,Anonymous_user,Unknown,2025-05-25
8,24,Enjoyed a relaxing evening.,2024-09-15 13:03:00,0.4,Instagram,Anonymous_user,Unknown,2025-02-15
9,26,Excited about the new event!,2025-03-29 15:28:00,-0.0,Instagram,Divya,Unknown,2025-03-05
10,34,Had an awesome workout!,2024-07-01 13:54:00,0.8,Instagram,Anonymous_user,Unknown,2025-05-25
11,26,Enjoyed a nice day by the beach.,2024-06-22 16:53:00,-0.7,Instagram,Divya,Unknown,2025-03-05
12,32,Had a peaceful day.,2024-06-23 08:40:00,0.5,Twitter,Snehal,Hyderabad,2025-05-05
13,41,Had a peaceful day.,2024-07-31 12:50:00,-0.6,Instagram,Abhinav,Bangalore,2025-08-05
14,24,Excited about the new event!,2024-09-27 12:25:00,0.0,Facebook,Anonymous_user,Unknown,2025-02-15
15,29,Traffic was terrible today.,2025-03-11 14:25:00,0.5,Twitter,Karthik,Unknown,2025-04-05
16,6,Excited for the next adventure!,2024-08-06 17:17:00,0.5,Diff_source,Anonymous_user,Unknown,2024-06-01
17,10,The commute was exhausting today.,2024-11-06 12:53:00,0.8,Facebook,Anonymous_user,Unknown,2024-08-10
18,11,Can't wait for the holidays!,2024-09-24 02:07:00,1.0,Facebook,Anonymous_user,Mumbai,2024-08-25
19,28,The new movie was decent.,2024-12-28 05:22:00,-1.0,Diff_source,Anonymous_user,Unknown,2025-03-25
20,12,Had an awesome workout!,2024-10-22 15:40:00,-0.9,Facebook,Arjun,Unknown,2024-09-05
21,17,Not feeling well today.,2025-08-30 14:11:00,-0.6,Facebook,Anonymous_user,Chennai,2024-11-20
22,41,Traffic was terrible today.,2024-12-01 07:37:00,0.0,Twitter,Abhinav,Bangalore,2025-08-05
23,2,The weather is perfect today!,2024-08-02 03:43:00,0.9,Instagram,Anonymous_user,Bangalore,2024-02-05
24,21,Had a peaceful day.,2025-06-13 07:43:00,-0.4,Twitter,Neha,Unknown,2025-01-15
25,36,Had a peaceful day.,2024-11-22 11:31:00,0.1,Instagram,Anonymous_user,Bangalore,2025-06-15
26,35,Traffic was terrible today.,2025-06-23 04:57:00,-0.2,Facebook,Vishal,Unknown,2025-06-05
